,class,confidence,label,xmax,xmin,ymax,ymin
0,0,0.06601119786500931,head,663,436,741,464
1,0,0.09177469462156296,head,45,8,369,320
2,0,0.12929528951644897,head,445,341,717,617
3,0,0.1467442810535431,head,658,614,382,332
4,0,0.2001471072435379,head,244,190,374,311
5,0,0.204924538731575,head,817,672,636,519
6,0,0.21114377677440643,head,1123,1018,589,483
7,0,0.21381303668022156,head,113,67,362,319
8,0,0.22834596037864685,head,76,35,306,258
9,0,0.3208205997943878,head,798,708,427,327
10,0,0.3593505322933197,head,571,490,504,422
11,0,0.4309130609035492,head,590,527,405,322
12,0,0.4426964223384857,head,334,232,510,414
13,0,0.4808536767959595,head,431,375,367,312
14,0,0.5379969477653503,head,206,126,489,397
